¿compras_productos_de_dermocosmética?,¿has_comprado_productos_de_dermocosmética_en_fybeca_alguna_vez?,"cuando_piensas_en_fybeca,_¿qué_tan_asociada_la_percibes_con_productos_de_dermocosmética?",¿cuál_de_las_siguientes_palabras_describe_mejor_a_fybeca_en_dermocosmética?,"la_comunicación_de_fybeca_sobre_dermocosmética_(imágenes,_textos,_promociones)_es:","¿sientes_que_la_comunicación_de_fybeca_aborda_problemas_reales_de_la_piel_(acné,_manchas,_sensibilidad,_envejecimiento,_etc.)?",¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_beneficios_claros_del_producto,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_recomendaciones_según_tipo_de_piel,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_antes_y_después_/_resultados,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_consejos_de_expertos,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_promociones_y_descuentos,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_comparación_entre_productos,¿cómo_percibes_los_precios_de_fybeca_en_dermocosmética?,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_totalmente_en_desacuerdo,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_en_desacuerdo,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_ni_de_acuerdo_ni_en_desacuerdo,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_de_acuerdo,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_totalmente_de_acuerdo,¿qué_tanto_confías_en_fybeca_como_experta_en_el_cuidado_de_la_piel?,¿crees_que_en_fybeca_puedes_recibir_asesoría_adecuada_para_elegir_productos_dermocosméticos?,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_personal_capacitado,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_recomendaciones_dermatológicas,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_test_de_piel,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_contenido_educativo,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_opiniones_de_otros_clientes,¿qué_debería_mejorar_fybeca_para_que_la_elijas_como_tu_principal_lugar_de_compra_de_dermocosmética?,ciudad:,ciudad
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Básica,Clara,En parte,nan,nan,nan,Consejos de expertos,nan,nan,Más altos,nan,nan,"Precio, Calidad, Producto",nan,nan,Poco,No,nan,nan,Test de piel,nan,nan,Los precios,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Muy clara,"Sí, claramente",Beneficios claros del producto,nan,nan,nan,nan,nan,Más bajos que la competencia,Calidad,nan,nan,"Precio, Producto",nan,Mucho,En parte,Personal capacitado,nan,nan,nan,nan,Personal capacitado,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Clara,En parte,nan,Recomendaciones según tipo de piel,nan,nan,Promociones y descuentos,nan,Más altos,nan,Producto,nan,"Precio, Calidad",nan,Algo,En parte,nan,Recomendaciones dermatológicas,nan,nan,Opiniones de otros clientes,Precios mas accesibles,"Quito , Sangolquí",Quito
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Confiable,Clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,Calidad,nan,Precio,Producto,nan,Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,nan,nan,nan,En algunas sucursales el personal,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,nan,nan,Comparación entre productos,Similares,"Precio, Calidad, Producto",nan,nan,nan,nan,Algo,En parte,nan,Recomendaciones dermatológicas,Test de piel,nan,nan,Que explique los benficos de los productos en casa tipo de piel,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,"Sí, claramente",nan,nan,Antes y después / resultados,nan,nan,nan,Más bajos que la competencia,"Precio, Calidad, Producto",nan,nan,nan,nan,Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,nan,nan,nan,"Una variedad, un catálogo expansivo",Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,En parte,nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,nan,"Calidad, Producto",Precio,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Más personal capacitado,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Nada asociada,Confiable,Clara,"Sí, claramente",nan,nan,nan,nan,Promociones y descuentos,nan,Similares,"Calidad, Producto",Precio,nan,nan,nan,Algo,En parte,Personal capacitado,nan,nan,nan,nan,Nada,Quito,Quito
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,QUITO,Quito
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Clara,En parte,nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Más altos,Calidad,nan,nan,Precio,Producto,Poco,"Sí, totalmente",nan,nan,Test de piel,nan,nan,Precios,Otavalo,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,En parte,nan,Recomendaciones según tipo de piel,Antes y después / resultados,nan,Promociones y descuentos,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Algo,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Más información sobre productos adecuados para cada tipo de piel,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Clara,"Sí, claramente",Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,Comparación entre productos,Similares,nan,nan,Producto,Calidad,Precio,Algo,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,Contenido educativo,Opiniones de otros clientes,"Mas coordilidad, al momento de comprar",Quiti,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Clara,En parte,nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,"Precio, Producto",Calidad,nan,Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,Tener más promociones,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,En parte,Beneficios claros del producto,nan,nan,nan,nan,nan,Similares,nan,nan,Precio,"Calidad, Producto",nan,Mucho,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,Contenido educativo,nan,Mayor información específica de los productos,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,nan,nan,"Precio, Calidad, Producto",Algo,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Mejor acesoria,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,"Sí, claramente",nan,nan,Antes y después / resultados,Consejos de expertos,nan,Comparación entre productos,Similares,nan,Precio,nan,Producto,Calidad,Mucho,"Sí, totalmente",Personal capacitado,nan,Test de piel,Contenido educativo,nan,Hay demasiada competencia que a una le hace difícil elegir se opta por los precios,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Poco clara,En parte,nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Más altos,"Precio, Calidad, Producto",nan,nan,nan,nan,Mucho,En parte,nan,Recomendaciones dermatológicas,nan,nan,nan,Persona capacitada en pieles,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,En parte,nan,nan,Antes y después / resultados,nan,nan,nan,Similares,Producto,nan,nan,Precio,Calidad,Mucho,En parte,Personal capacitado,nan,nan,nan,nan,Crear una tienda especializado en dermocosmética,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,"Sí, claramente",Beneficios claros del producto,nan,nan,nan,nan,nan,Más bajos que la competencia,Precio,nan,nan,"Calidad, Producto",nan,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,La actitud de algunos trabajadores,Quito,Quito
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,nan,Más altos,nan,nan,"Precio, Calidad, Producto",nan,nan,Mucho,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Bajar precios,Quito,Quito
Sí,"No, nunca",Algo asociada,Confiable,Poco clara,No,Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,nan,nan,nan,Similares,Producto,nan,Calidad,Precio,nan,Algo,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,Información detallada y beneficios,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Económica,Muy clara,"Sí, claramente",Beneficios claros del producto,Recomendaciones según tipo de piel,nan,Consejos de expertos,nan,nan,Más bajos que la competencia,nan,nan,nan,Precio,"Calidad, Producto",Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,Contenido educativo,nan,"Atención al cliente, indagar las dudas del liente",Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Ibarra,Quito
